XP1,XP2,XP3,XP4,XP5
21611.67,17263.99,10092.9,4322.33,2679.32
21098.7,17060.02,9934.52,4219.74,2668.64
20999.38,17126.06,9986.43,4199.88,2688.27
21520.3,17007.03,9894.47,4304.06,2634.96
21019.13,16700.16,9663.31,4203.83,2701.28
19851.75,16738.29,9691.34,3970.35,2681.17
19515.73,16416.2,9448.92,3903.15,2669.56
19184.72,16361.58,9407.23,3836.94,2642.48
19198.83,16086.27,9195.87,3839.77,2652.21
19075.91,16101.68,9207.71,3815.18,2599.92
19145.98,15495.95,8743.02,3829.2,2586.55
19020.4,15776.98,8958.28,3804.08,2582.43
19129.16,15896.59,9052.27,3825.83,2570.12
19011.03,16091.8,9211.99,3802.21,2616.08
19386.52,16618.11,9646.02,3877.3,2645.59
19101.05,16508.33,9553.62,3820.21,2659.44
19191.83,16536.97,9577.61,3838.37,2604.04
18903.89,16396.29,9461.15,3780.78,2625.4
18986.15,16509.97,9552.13,3797.23,2662.54
18969.42,16381.16,9449.06,3793.88,2641.09
18427.98,16642.11,9651.03,3685.6,2649.61
18384.76,16809.68,9776.57,3676.95,2668.68
18741.1,16771,9747.84,3748.22,2673.86
18945.91,16832.44,9794.52,3789.18,2652.28
18987.54,16652.12,9652.84,3797.51,2680.02
18565.07,16671.14,9668.33,3713.01,2672.51
18972.58,16611.53,9619.74,3794.52,2700.95
19003.84,16215.03,9288.11,3800.77,2763.99
18872.69,16282.08,9343.7,3774.54,2634.85
19404.67,16002.51,9108.44,3880.93,2687.52
19112.96,15959.61,9071.69,3822.59,2737.12
19219.97,15893.47,9015.18,3843.99,2743.83
19662.03,15885.61,9008.46,3932.41,2860.75
19912.01,15793.6,8929.53,3982.4,2819.87
19784.01,15668.12,8820.51,3956.8,2783.76
19594,15388.41,8572.74,3918.8,2672.95
19760.61,15650.28,8803.68,3952.12,2676.95
19995.32,15883.69,9008.12,3999.06,2677.57
20003.54,15925.2,9045.32,4000.71,2596.87
20501.63,15935.51,9054.42,4100.33,2646.11
20481.19,16240.54,9323.37,4096.24,2690.37
20263.51,16341.76,9414.43,4052.7,2686.48
