"YYYYMM","ShadowRate","TermPremium-2Y","TermPremium-5Y","TermPremium-7Y","TermPremium-10Y","TermPremium-15Y","TermPremium-20Y","ExpectedRate-2Y","ExpectedRate-5Y","ExpectedRate-7Y","ExpectedRate-10Y","ExpectedRate-15Y","ExpectedRate-20Y"
201504,-2.7885,-0.0935,-0.02,-5e-04,0.1314,0.2779,0.3993,0.1,0.1024,0.1207,0.2004,0.4346,0.7039
201505,-2.7548,-0.1028,0.006,0.074,0.2141,0.3635,0.4874,0.1,0.1027,0.1219,0.2039,0.4408,0.7112
201506,-2.7339,-0.1015,0.013,0.098,0.257,0.4011,0.522,0.1,0.1028,0.1227,0.2059,0.4441,0.7149
201507,-2.7401,-0.0949,0.0048,0.077,0.2336,0.3731,0.4934,0.1,0.1028,0.1222,0.2045,0.4412,0.7111
201508,-2.7674,-0.0957,-0.0185,0.0344,0.1927,0.3418,0.4712,0.1,0.1025,0.1209,0.2006,0.4336,0.7015
201509,-2.8068,-0.0878,-0.0348,-0.003,0.16,0.3135,0.4538,0.1,0.1022,0.1192,0.1953,0.4233,0.6886
201510,-2.8541,-0.0937,-0.0498,-0.0243,0.129,0.2795,0.4189,0.1,0.1019,0.1173,0.1894,0.4114,0.6735
201511,-2.9059,-0.1065,-0.0611,-0.0209,0.1361,0.297,0.4379,0.1,0.1016,0.1154,0.1832,0.3986,0.6571
201512,-2.9769,-0.131,-0.0627,-0.033,0.1173,0.2639,0.4062,0.1,0.1012,0.1131,0.1754,0.3822,0.636
201601,-3.0696,-0.1288,-0.0892,-0.0803,0.0568,0.1908,0.3265,0.1,0.1009,0.1106,0.1663,0.3623,0.6099
201602,-3.1718,-0.0929,-0.0712,-0.0656,0.0423,0.139,0.2625,-0.1,-0.0986,-0.0854,-0.0174,0.2044,0.4738
201603,-3.2849,-0.1052,-0.1004,-0.1108,-0.034,-0.0199,8e-04,-0.1,-0.0991,-0.0887,-0.0292,0.1791,0.4411
201604,-3.369,-0.1486,-0.13,-0.1293,-0.0551,-0.0663,-0.0954,-0.1,-0.0993,-0.0907,-0.0373,0.1606,0.4164
201605,-3.4195,-0.1431,-0.1307,-0.1366,-0.0621,-0.0905,-0.1365,-0.1,-0.0994,-0.0918,-0.0421,0.1488,0.4003
201606,-3.439,-0.1636,-0.1645,-0.1848,-0.1189,-0.1508,-0.2183,-0.1,-0.0995,-0.0923,-0.0444,0.1427,0.3917
201607,-3.421,-0.2356,-0.2474,-0.2785,-0.2149,-0.2318,-0.2859,-0.1,-0.0995,-0.0922,-0.0439,0.1433,0.392
201608,-3.3591,-0.0916,-0.0791,-0.102,-0.0413,-0.0723,-0.1253,-0.1,-0.0994,-0.0912,-0.0401,0.1518,0.4027
201609,-3.2823,-0.1368,-0.0935,-0.0981,-0.0128,-0.0052,-0.0153,-0.1,-0.0992,-0.0898,-0.0347,0.1634,0.4174
201610,-3.2013,-0.1659,-0.1104,-0.1076,-0.0306,-0.0433,-0.0497,-0.1,-0.0989,-0.0881,-0.0285,0.1763,0.4335
201611,-3.1116,-0.1019,-0.0393,-0.0251,0.0135,-0.015,-0.0218,-0.1,-0.0986,-0.0858,-0.021,0.1915,0.4523
201612,-3.0175,-0.0844,0.0097,0.0444,0.0654,0.0803,0.0897,-0.1,-0.0981,-0.0831,-0.0124,0.2083,0.4729
201701,-2.9317,-0.1223,-0.0209,0.0347,0.0668,0.0996,0.1246,-0.1,-0.0976,-0.0802,-0.0039,0.2241,0.4919
201702,-2.8573,-0.1352,-0.0027,0.0617,0.0865,0.1447,0.1754,-0.1,-0.097,-0.0774,0.0038,0.2379,0.5083
201703,-2.802,-0.1637,-0.0419,0.0127,0.0592,0.1078,0.1333,-0.1,-0.0966,-0.0752,0.0095,0.2477,0.5196
201704,-2.7595,-0.1118,-0.0589,-0.0291,0.0158,0.046,0.0647,-0.1,-0.0962,-0.0735,0.0138,0.2547,0.5275
201705,-2.7183,-0.0743,-0.0289,-0.006,0.0255,0.0433,0.051,-0.1,-0.0957,-0.0718,0.018,0.2615,0.535
201706,-2.6789,-0.019,0.0103,0.0148,0.0308,0.0272,0.0278,-0.1,-0.0953,-0.0701,0.0221,0.268,0.5422
201707,-2.64,-0.0116,0.0394,0.0587,0.0528,0.0511,0.0514,-0.1,-0.0948,-0.0683,0.0263,0.2745,0.5493
201708,-2.6089,-0.029,0.0035,0.0143,0.0155,0.0078,0.012,-0.1,-0.0944,-0.0668,0.0294,0.2792,0.5543
201709,-2.5768,-0.0432,-0.0248,-0.019,-0.0119,-0.011,-0.0073,-0.1,-0.094,-0.0653,0.0328,0.2843,0.5597
201710,-2.5396,-0.0396,0.005,0.0274,0.0283,0.0274,0.0282,-0.1,-0.0934,-0.0633,0.0371,0.2907,0.5666
201711,-2.5073,-0.084,-0.026,-0.0121,-1e-04,0.0083,0.0076,-0.1,-0.0929,-0.0616,0.0407,0.296,0.5722
201712,-2.4753,-0.0485,-0.0171,-0.0094,8e-04,-0.0015,-0.0037,-0.1,-0.0924,-0.0599,0.0443,0.3013,0.5778
201801,-2.4432,-0.0348,0.0081,0.0322,0.0282,0.0194,0.0079,-0.1,-0.0918,-0.058,0.0481,0.3067,0.5834
201802,-2.4175,-0.0494,-0.0028,0.0191,0.0168,0.0033,-0.0132,-0.1,-0.0913,-0.0566,0.0509,0.3105,0.5872
201803,-2.3955,-0.0545,-0.0233,-0.0108,-0.0138,-0.0392,-0.0545,-0.1,-0.0909,-0.0554,0.0531,0.3133,0.59
201804,-2.3689,-0.0434,-0.02,-0.003,-0.0148,-0.0461,-0.0761,-0.1,-0.0904,-0.0538,0.0561,0.3175,0.5942
201805,-2.3372,-0.0395,-0.019,0.0018,-0.0113,-0.0426,-0.0737,-0.1,-0.0897,-0.0518,0.0602,0.3231,0.6
201806,-2.3024,-0.0343,-0.0173,-0.0048,-0.0177,-0.054,-0.0917,-0.1,-0.0888,-0.0494,0.0648,0.3297,0.607
