P1,P2
6094.73,6114.62
5961.16,6089.46
5835.54,6071.61
5892.54,6037.98
5645.48,6028.24
5753.96,6063.61
5746.48,6082.36
5601.69,6072.99
5558.61,6106.87
5417.49,6173.54
5390.34,6173.24
5315.04,6193.95
5117.46,6205.79
5339.58,6165.71
5298.91,6126.63
5177.78,6208.78
5245.14,6254.92
5305.51,6293.22
5402.42,6300.6
5449.58,6323.18
5532.63,6329.97
5766.69,6331.76
5697.41,6340.89
5935.26,6300.64
5880.57,6400.63
5849.53,6446.07
5968.65,6432.29
5858.72,6493.41
5882.89,6460.19
5808.43,6546.16
5565.33,6523.23
5428.11,6399.21
5598.58,6491.25
5651.47,6571.37
5633.41,6516.55
5410.38,6423.88
5167.69,6299.44
5007.6,6279.08
4935.01,6156.89
4873.11,6096.37
4772.3,6107.58
4819.37,6159.58
4733.42,6111.61
4490.7,6104.77
4370.71,6117.58
4438.28,6197.71
4368.28,6145.79
4322.99,6060.97
4248.94,5954.63
4169.05,5990.79
4354.06,5987.21
4255.38,6028.41
4459.19,6021.17
4449.38,6039.67
4313.33,6049.64
4308.89,6050.63
4113.57,6025.67
4113.63,6075.68
4083.92,6058.15
4177.21,6085.74
4197.35,6092.52
4187.34,6163.06
4172.18,6196.92
4222.82,6181.22
4194.79,6180.82
4096.74,6175.6
3985.48,6092.13
4290.98,6176.56
4168.68,6237.31
3943.66,6193.4
3786.75,6214.08
4045.64,6226.22
4382.36,6173.34
4753.5,6244.69
4934.68,6231.52
5118.73,6240.47
4966.83,6258.88
4813.87,6215.55
4464.04,6167.31
4348.95,6165.09
4298.76,6189.8
4216.99,6192.91
4320.71,6221.39
4576.29,6235.04
4750.97,6256.74
4653.78,6201
4828.74,6230.73
4547.08,6196.44
4505.44,6176.34
4345.24,6171.97
4500.31,6106.09
4650.44,6101.52
4585.56,6082.62
4682.65,6052.92
4536.41,6030.18
4585.47,6080.14
4628.82,6025.33
4422.21,6015.44
4538.6,5909.2
4471.98,5870.87
4205.86,5844.37
4344.49,5919.69
4208.35,5867.56
4285.62,5821.71
4231.77,5751.08
4307.14,5760.6
4496.86,5760.6
4668.18,5760.6
4823.9,5760.6
4812.06,5760.6
5136.38,5760.6
5099.24,5760.6
4874.45,5760.6
4805.62,5760.6
4741.22,5760.6
4663.32,5760.6
4580.17,5760.6
4432,5760.6
4458.17,5760.6
4526.04,5760.6
4662.81,5760.6
4566.5,5760.6
4540.34,5760.6
4756.8,5760.6
4876.93,5760.6
4714.52,5760.6
4653.16,5760.6
4389.66,5760.6
4459.32,5760.6
4420.05,5760.6
4653.52,5760.6
4608.97,5760.6
4777.93,5760.6
4740.19,5760.6
4900.24,5760.6
4865.79,5760.6
4814.31,5760.6
4838.25,5760.6
4669.9,5760.6
4635.53,5760.6
4657.31,5760.6
4642.97,5760.6
4702.16,5760.6
4625.75,5760.6
4396.41,5760.6
4438.21,5760.6
4567.64,5760.6
4728.62,5760.6
4808.1,5760.6
5181.44,5760.6
5260.16,5760.6
5035.77,5760.6
5028.37,5760.6
4897.12,5542.16
4940.72,5517.43
5151.09,5548.65
4814.85,5633.31
4843.47,5654.29
4938.69,5641.99
4823.9,5732
4839.75,5689.74
4770.82,5747.64
4737.57,5725.69
4774.26,5676.85
4578.62,5734.59
4497.31,5645.63
4444.82,5628.39
4330.74,5629.17
4483,5608.93
4270.88,5538.86
4270.31,5508.27
4328.83,5438.34
4342.31,5532.3
4285.05,5423.94
4595.27,5286.18
4600.24,5339.44
4791.85,5402.84
4636.33,5389.83
4650.76,5377.8
4447.38,5415.27
4244.09,5483.82
4056.57,5400.44
3970.97,5473.87
3750.19,5485.32
3819.64,5467.63
3853.9,5527.45
3589.57,5573.99
3601,5636.44
3550.74,5621.52
3497.8,5657.74
3586.96,5671.17
3641.9,5649.23
3595.41,5720.41
3638.68,5728.14
3733.86,5725.73
3774.15,5747.45
3784.28,5762.99
3954.73,5735.76
3820.87,5733.72
3742.89,5829.79
3749.95,5825.98
3684.05,5811.87
3741.73,5844.27
3770.24,5861.67
3668.84,5839.4
3653.89,5796.03
3533.87,5831.19
3527.42,5836.16
3575.8,5855.26
3587.49,5843.97
3484.2,5781.95
3485.83,5784.94
3501.87,5881.82
3487.93,5801.89
3564.03,5745.27
3556.19,5671.23
3503.87,5650.52
3501.13,5721.22
3422.59,5712.85
3429.83,5700.3
3493.86,5642.23
3440.07,5645.3
3544.1,5690.02
3585.54,5789.98
3447.08,5865.55
3270.97,5813.37
3325.76,5784.86
3166.99,5816.32
3192.16,5815.83
3208.43,5828.16
3259.9,5772.88
3311.76,5753.8
3483.03,5714.75
3394.31,5675.57
3351.51,5645.26
3369.49,5628.23
3250.26,5628.01
3179.47,5651.62
3132.95,5632.68
3184.73,5601.38
3237.8,5661.47
3040.61,5704.36
3075.93,5734.96
3086.1,5807.8
3142.31,5759.19
3034.55,5859.17
3007.6,5932.96
3180.22,5951.86
3187.16,5986.49
3187.15,5989.69
3324.06,5984.41
3317.54,5914.89
3345.59,5951.18
3462.09,6052.73
3328.98,6177.99
3275.69,6190.53
3393.88,6183.51
3476.93,6194.04
3458.35,6254.18
3727.37,6333.88
3774.18,6357.9
3818.77,6418.28
3894.48,6416.79
3668.42,6441.95
3742.28,6498.99
3729.97,6683.41
3880.85,6678.66
3951.25,6627.51
4012.37,6658.61
4026.41,6632.85
3953.88,6669.55
4113.08,6688.27
4327.89,6755.64
4218.7,6702.88
4291.37,6637.48
4178.59,6724.61
4210.19,6738.57
4386.6,6686.53
4358.02,6627.31
4296.26,6596.82
4358.25,6627.43
4214.59,6601.18
4197.29,6664.97
4187.32,6677.59
4093.83,6687.09
4159.58,6686.38
4169.44,6673.32
4282.99,6666.18
4175.52,6714.12
